
-----
mkdir timedrun fake

Initial Residual = 13573.6
Iteration = 15   Residual = 178.727
Iteration = 30   Residual = 1.21771
Iteration = 45   Residual = 0.00834386
Iteration = 60   Residual = 5.70757e-05
Iteration = 75   Residual = 3.89343e-07
Iteration = 90   Residual = 2.6426e-09
Iteration = 105   Residual = 1.77417e-11
Iteration = 120   Residual = 1.15261e-13
Iteration = 135   Residual = 6.18993e-16
Iteration = 149   Residual = 5.09223e-18
Mini-Application Name: hpccg
Mini-Application Version: 1.0
Parallelism: 
  MPI not enabled: 
  Number of OpenMP threads: 20
Dimensions: 
  nx: 256
  ny: 256
  nz: 1024
Number of iterations: 149
Final residual: 5.09223e-18
#********** Performance Summary (times in sec) ***********: 
Time Summary: 
  Total   : 1196.91
  DDOT    : 60.408
  WAXPBY  : 185.136
  SPARSEMV: 949.988
FLOPS Summary: 
  Total   : 6.3995e+11
  DDOT    : 3.99969e+10
  WAXPBY  : 5.99953e+10
  SPARSEMV: 5.39958e+11
MFLOPS Summary: 
  Total   : 534.669
  DDOT    : 662.112
  WAXPBY  : 324.061
  SPARSEMV: 568.384

============================ Unprocessed Statistics ============================
TIPI	JPI	Uncore1	Uncore2
0.12098	0.00000000423985	30	30
0.12092	0.00000000422659	30	30
0.12133	0.00000000423663	30	30
0.12104	0.00000000441133	30	30
0.12094	0.00000000422461	30	30
0.12113	0.00000000425787	30	30
0.12059	0.00000000425450	30	30
0.12105	0.00000000423991	30	30
0.12096	0.00000000423994	30	30
0.12104	0.00000000421115	30	30
0.12131	0.00000000426824	30	30
0.12083	0.00000000422163	30	30
0.12066	0.00000000422291	30	30
0.14213	0.00000000723359	30	30
0.12105	0.00000000428034	30	30
0.12109	0.00000000426500	30	30
0.12121	0.00000000423958	30	30
0.12103	0.00000000435471	30	30
0.12088	0.00000000435147	30	30
0.12128	0.00000000425236	30	30
0.12058	0.00000000426087	30	30
0.12095	0.00000000425880	30	30
0.12096	0.00000000426848	30	30
0.12118	0.00000000422717	30	30
0.12121	0.00000000427859	30	30
0.12067	0.00000000424586	30	30
0.12090	0.00000000424779	30	30
0.12042	0.00000000466707	30	30
0.12109	0.00000000426540	30	30
0.12121	0.00000000427111	30	30
0.12058	0.00000000428027	30	30
0.12149	0.00000000425757	30	30
0.12104	0.00000000426694	30	30
0.12078	0.00000000444361	30	30
0.12105	0.00000000427936	30	30
0.12082	0.00000000428199	30	30
0.12093	0.00000000424019	30	30
0.12098	0.00000000428466	30	30
0.12136	0.00000000425111	30	30
0.12060	0.00000000429258	30	30
0.12110	0.00000000426495	30	30
0.12108	0.00000000427254	30	30
0.12086	0.00000000427667	30	30
0.12117	0.00000000428434	30	30
0.12081	0.00000000426894	30	30
0.12136	0.00000000429074	30	30
0.12109	0.00000000445148	30	30
0.12073	0.00000000427051	30	30
0.12090	0.00000000428887	30	30
0.12094	0.00000000427732	30	30
0.12102	0.00000000426375	30	30
0.12084	0.00000000427613	30	30
0.12147	0.00000000427648	30	30
0.12088	0.00000000427091	30	30
0.14242	0.00000000775147	30	30
0.12201	0.00000000432572	30	30
0.12181	0.00000000432628	30	30
0.12239	0.00000000432835	30	30
0.12175	0.00000000431474	30	30
0.12221	0.00000000439506	30	30
0.12217	0.00000000433172	30	30
0.12153	0.00000000429019	30	30
0.12058	0.00000000425233	30	30
0.12106	0.00000000427763	30	30
0.12203	0.00000000441103	30	30
0.12181	0.00000000443832	30	30
0.12133	0.00000000430668	30	30
0.12079	0.00000000423926	30	30
0.14165	0.00000000734770	30	30
0.12063	0.00000000424079	30	30
0.12095	0.00000000428560	30	30
0.12126	0.00000000427307	30	30
0.12078	0.00000000426609	30	30
0.12097	0.00000000427595	30	30
0.12125	0.00000000427654	30	30
0.12079	0.00000000429914	30	30
0.12101	0.00000000428013	30	30
0.12098	0.00000000425715	30	30
0.12099	0.00000000426799	30	30
0.12092	0.00000000429152	30	30
0.12160	0.00000000428239	30	30
0.12059	0.00000000441908	30	30
0.14218	0.00000000733192	30	30
0.12083	0.00000000437771	30	30
0.12114	0.00000000421489	30	30
0.12130	0.00000000425852	30	30
0.12105	0.00000000437625	30	30
0.12051	0.00000000428240	30	30
0.12153	0.00000000427833	30	30
0.12082	0.00000000428824	30	30
0.12068	0.00000000427603	30	30
0.12104	0.00000000427391	30	30
0.12146	0.00000000425854	30	30
0.12101	0.00000000427455	30	30
0.12091	0.00000000436878	30	30
0.12069	0.00000000434736	30	30
0.14151	0.00000000727938	30	30
0.12094	0.00000000430162	30	30
0.12098	0.00000000430171	30	30
0.12126	0.00000000426838	30	30
0.12109	0.00000000426570	30	30
0.12060	0.00000000427096	30	30
0.12124	0.00000000430199	30	30
0.12074	0.00000000428305	30	30
0.12098	0.00000000429387	30	30
0.12122	0.00000000425297	30	30
0.12103	0.00000000426458	30	30
0.12107	0.00000000448457	30	30
0.12067	0.00000000428041	30	30
0.12092	0.00000000426972	30	30
0.12084	0.00000000441378	30	30
0.12088	0.00000000428480	30	30
0.12103	0.00000000429806	30	30
0.12108	0.00000000429302	30	30
0.12121	0.00000000427062	30	30
0.12081	0.00000000437307	30	30
0.12125	0.00000000438520	30	30
0.12095	0.00000000428249	30	30
0.12086	0.00000000428513	30	30
0.12087	0.00000000428811	30	30
0.12102	0.00000000427470	30	30
0.12130	0.00000000425209	30	30
0.12060	0.00000000426953	30	30
0.12106	0.00000000430809	30	30
0.12130	0.00000000428199	30	30
0.12279	0.00000000488253	30	30
0.12106	0.00000000428075	30	30
0.12112	0.00000000429420	30	30
0.12082	0.00000000429621	30	30
0.12114	0.00000000427714	30	30
0.12141	0.00000000438683	30	30
0.12105	0.00000000436694	30	30
0.12076	0.00000000429754	30	30
0.12074	0.00000000428772	30	30
0.12093	0.00000000426428	30	30
0.12098	0.00000000428300	30	30
0.12101	0.00000000427761	30	30
0.12128	0.00000000430297	30	30
0.12100	0.00000000425234	30	30
0.12105	0.00000000425504	30	30
0.12097	0.00000000431458	30	30
0.12149	0.00000000427844	30	30
0.12048	0.00000000426308	30	30
0.12098	0.00000000428785	30	30
0.12146	0.00000000430593	30	30
0.12070	0.00000000430238	30	30
0.12096	0.00000000437402	30	30
0.12087	0.00000000427927	30	30
0.12154	0.00000000437494	30	30
0.12062	0.00000000425725	30	30
0.12100	0.00000000430440	30	30
0.12089	0.00000000426161	30	30
0.14243	0.00000000757303	30	30
0.12102	0.00000000429895	30	30
0.12099	0.00000000430297	30	30
0.12129	0.00000000427686	30	30
0.12068	0.00000000428501	30	30
0.12104	0.00000000428473	30	30
0.12111	0.00000000431422	30	30
0.12084	0.00000000430832	30	30
0.12096	0.00000000440777	30	30
0.12098	0.00000000426639	30	30
0.12125	0.00000000430095	30	30
0.12106	0.00000000438252	30	30
0.12110	0.00000000426840	30	30
0.12058	0.00000000426383	30	30
0.14231	0.00000000750849	30	30
0.12095	0.00000000430180	30	30
0.12109	0.00000000431869	30	30
0.12131	0.00000000426035	30	30
0.12072	0.00000000427353	30	30
0.12094	0.00000000430996	30	30
0.12128	0.00000000430974	30	30
0.12058	0.00000000430323	30	30
0.12104	0.00000000427998	30	30
0.12109	0.00000000429960	30	30
0.12091	0.00000000426570	30	30
0.12125	0.00000000440757	30	30
0.12071	0.00000000429755	30	30
0.12107	0.00000000437392	30	30
0.14152	0.00000000731227	30	30
0.12122	0.00000000429988	30	30
0.12098	0.00000000429070	30	30
0.12099	0.00000000429627	30	30
0.12124	0.00000000428139	30	30
0.12109	0.00000000427307	30	30
0.12099	0.00000000426947	30	30
0.12091	0.00000000428649	30	30
0.12076	0.00000000429979	30	30
0.12100	0.00000000429403	30	30
0.12103	0.00000000447447	30	30
0.12118	0.00000000427833	30	30
0.12125	0.00000000428377	30	30
0.12060	0.00000000428777	30	30
0.12082	0.00000000428587	30	30
0.12194	0.00000000452476	30	30
0.12099	0.00000000431457	30	30
0.12098	0.00000000421242	30	30
0.12097	0.00000000440674	30	30
0.12100	0.00000000428131	30	30
0.12101	0.00000000429870	30	30
0.12131	0.00000000429264	30	30
0.12099	0.00000000427376	30	30
0.12088	0.00000000429747	30	30
0.12072	0.00000000428689	30	30
0.12111	0.00000000431566	30	30
0.12132	0.00000000428199	30	30
0.12059	0.00000000437651	30	30
0.12105	0.00000000429469	30	30
0.12042	0.00000000428999	30	30
0.12352	0.00000000499390	30	30
0.12108	0.00000000429891	30	30
0.12093	0.00000000429973	30	30
0.12117	0.00000000431134	30	30
0.12077	0.00000000429848	30	30
0.12121	0.00000000429169	30	30
0.12118	0.00000000431141	30	30
0.12068	0.00000000430085	30	30
0.12100	0.00000000430669	30	30
0.12092	0.00000000430381	30	30
0.12108	0.00000000427311	30	30
0.12091	0.00000000430776	30	30
0.12143	0.00000000441617	30	30
0.12068	0.00000000426541	30	30
0.14134	0.00000000739117	30	30
0.12158	0.00000000430208	30	30
0.12057	0.00000000438487	30	30
0.12138	0.00000000428979	30	30
0.12073	0.00000000429799	30	30
0.12102	0.00000000429508	30	30
0.12131	0.00000000430757	30	30
0.12059	0.00000000430439	30	30
0.12102	0.00000000429802	30	30
0.12087	0.00000000429013	30	30
