
-----
mkdir timedrun fake

UTS - Unbalanced Tree Search 2.1 (C/OpenMP)
Tree type:  1 (Geometric)
Tree shape parameters:
  root branching factor b_0 = 4.0, root seed = 19
  GEO parameters: gen_mx = 15, shape function = 3 (Fixed branching factor)
Random number generator: SHA-1 (state size = 20B)
Compute granularity: 1
Execution strategy:  Parallel search using 20 threads
   Load balance by work stealing, chunk size = 20 nodes
  CBarrier Interval: 1
   Polling Interval: 1

Tree size = 18446744073645230921, tree depth = 15, num leaves = 18446744072799080058 (100.00%)
Wallclock time = 71.052 sec, performance = 259624034361339008 nodes/sec (12981201718066950 nodes/sec per PE)


============================ Unprocessed Statistics ============================
TIPI	JPI	Uncore1	Uncore2
0.00004	0.00000000148276	30	30
0.00004	0.00000000130943	30	30
0.00003	0.00000000128929	30	30
0.00003	0.00000000122774	30	30
0.00003	0.00000000130386	30	30
0.00004	0.00000000125162	30	30
0.00003	0.00000000125576	30	30
0.00003	0.00000000117300	30	30
0.00002	0.00000000123642	30	30
0.00002	0.00000000116702	30	30
0.00002	0.00000000122589	30	30
0.00003	0.00000000115915	30	30
0.00002	0.00000000119807	30	30
0.00002	0.00000000121238	30	30
0.00003	0.00000000115828	30	30
0.00003	0.00000000121429	30	30
0.00003	0.00000000116230	30	30
0.00003	0.00000000122817	30	30
0.00003	0.00000000123427	30	30
0.00003	0.00000000118463	30	30
0.00003	0.00000000123253	30	30
0.00003	0.00000000124302	30	30
0.00003	0.00000000117348	30	30
0.00003	0.00000000121629	30	30
0.00002	0.00000000114351	30	30
0.00003	0.00000000121764	30	30
0.00003	0.00000000124856	30	30
0.00003	0.00000000118754	30	30
0.00003	0.00000000122352	30	30
0.00003	0.00000000121541	30	30
0.00002	0.00000000114706	30	30
0.00001	0.00000000119454	30	30
0.00002	0.00000000117648	30	30
0.00002	0.00000000117412	30	30
0.00003	0.00000000122079	30	30
0.00003	0.00000000115996	30	30
0.00002	0.00000000120305	30	30
0.00002	0.00000000119904	30	30
0.00003	0.00000000117650	30	30
0.00003	0.00000000122411	30	30
0.00003	0.00000000124404	30	30
0.00003	0.00000000118882	30	30
0.00004	0.00000000123789	30	30
0.00003	0.00000000117216	30	30
0.00003	0.00000000122563	30	30
0.00003	0.00000000121119	30	30
0.00002	0.00000000116375	30	30
0.00002	0.00000000119853	30	30
0.00002	0.00000000114262	30	30
0.00002	0.00000000103187	12	12
0.00003	0.00000000096661	12	12
0.00003	0.00000000102111	12	12
0.00003	0.00000000103398	12	12
0.00003	0.00000000102808	12	12
0.00003	0.00000000099981	12	12
0.00002	0.00000000092394	12	12
0.00002	0.00000000095549	12	12
0.00002	0.00000000098164	12	12
0.00003	0.00000000100612	12	12
0.00003	0.00000000097061	12	12
0.00003	0.00000000099089	12	12
0.00002	0.00000000098925	12	12
0.00003	0.00000000101334	12	12
0.00002	0.00000000095031	12	12
0.00002	0.00000000099059	12	12
0.00002	0.00000000098558	12	12
0.00002	0.00000000097514	12	12
0.00002	0.00000000093986	12	12
0.00002	0.00000000098137	12	12
0.00002	0.00000000098284	12	12
0.00003	0.00000000099968	12	12
0.00004	0.00000000106552	12	12
0.00002	0.00000000095375	12	12
0.00002	0.00000000094944	12	12
0.00002	0.00000000097614	12	12
0.00002	0.00000000097429	12	12
0.00002	0.00000000097668	12	12
0.00002	0.00000000093160	12	12
0.00002	0.00000000100172	12	12
0.00002	0.00000000099701	12	12
0.00002	0.00000000097644	12	12
0.00002	0.00000000092893	12	12
0.00002	0.00000000098663	12	12
0.00002	0.00000000097909	12	12
0.00002	0.00000000099398	12	12
0.00002	0.00000000096990	12	12
0.00002	0.00000000096267	12	12
0.00002	0.00000000098772	12	12
0.00003	0.00000000098960	12	12
0.00002	0.00000000098349	12	12
